id,name,position,recorded_games,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,ast,blk,stl,to,pf,pts,plus_minus,off_rating,def_rating,ast_pct,ast_tov,ast_ratio,oreb_pct,dreb_pct,treb_pct,tm_tov_pct,efg_pct,ts_pct,usg_pct,pace,pie,shot_distance,shot_made_flag,loc_x,loc_y,event_type-Missed Shot,event_type-Made Shot,action_type-Fadeaway Bank shot,action_type-Running Layup Shot,action_type-Jump Bank Hook Shot,action_type-Driving Floating Jump Shot,action_type-Step Back Jump shot,action_type-Slam Dunk Shot,action_type-Tip Layup Shot,action_type-Driving Dunk Shot,action_type-Hook Shot,action_type-Running Alley Oop Layup Shot,action_type-Running Tip Shot,action_type-Running Pull-Up Jump Shot,action_type-Fadeaway Jump Shot,action_type-Putback Dunk Shot,action_type-Tip Dunk Shot,action_type-Running Reverse Layup Shot,action_type-Running Finger Roll Layup Shot,action_type-Putback Layup Shot,action_type-Step Back Bank Jump Shot,action_type-No Shot,action_type-Turnaround Jump Shot,action_type-Floating Jump shot,action_type-Jump Shot,action_type-Layup Shot,action_type-Reverse Layup Shot,action_type-Turnaround Fadeaway shot,action_type-Hook Bank Shot,action_type-Driving Jump shot,action_type-Cutting Dunk Shot,action_type-Driving Hook Shot,action_type-Running Alley Oop Dunk Shot,action_type-Alley Oop Layup shot,action_type-Turnaround Bank Hook Shot,action_type-Jump Bank Shot,action_type-Reverse Dunk Shot,action_type-Driving Floating Bank Jump Shot,action_type-Turnaround Fadeaway Bank Jump Shot,action_type-Running Dunk Shot,action_type-Tip Shot,action_type-Running Jump Shot,action_type-Running Hook Shot,action_type-Putback Slam Dunk Shot,action_type-Driving Bank Hook Shot,action_type-Turnaround Hook Shot,action_type-Cutting Finger Roll Layup Shot,action_type-Running Bank shot,action_type-Pullup Jump shot,action_type-Alley Oop Dunk Shot,action_type-Reverse Slam Dunk Shot,action_type-Running Slam Dunk Shot,action_type-Driving Bank shot,action_type-Driving Slam Dunk Shot,action_type-Running Reverse Dunk Shot,action_type-Pullup Bank shot,action_type-Jump Hook Shot,action_type-Driving Reverse Dunk Shot,action_type-Driving Finger Roll Layup Shot,action_type-Dunk Shot,action_type-Turnaround Bank shot,action_type-Driving Layup Shot,action_type-Cutting Layup Shot,action_type-Driving Reverse Layup Shot,action_type-Running Bank Hook Shot,action_type-Finger Roll Layup Shot,shot_zone_basic-Left Corner 3,shot_zone_basic-Right Corner 3,shot_zone_basic-Mid-Range,shot_zone_basic-In The Paint (Non-RA),shot_zone_basic-Restricted Area,shot_zone_basic-Backcourt,shot_zone_basic-Above the Break 3,shot_zone_range-16-24 ft.,shot_zone_range-Back Court Shot,shot_zone_range-24+ ft.,shot_zone_range-Less Than 8 ft.,shot_zone_range-8-16 ft.,shot_type-3PT Field Goal,shot_type-2PT Field Goal,shot_zone_area-Right Side(R),shot_zone_area-Center(C),shot_zone_area-Left Side(L),shot_zone_area-Left Side Center(LC),shot_zone_area-Back Court(BC),shot_zone_area-Right Side Center(RC),Season
2734,Devin Harris,Guard,39,16.47521368,1.794871795,4.974358974,0.846153846,2.615384615,1.641025641,1.897435897,0.230769231,1.794871795,1.717948718,0.076923077,0.58974359,0.692307692,1.538461538,6.076923077,0.461538462,109,108.5837838,0.15427027,0.905405405,21.04594595,0.015567568,0.117189189,0,8.908108108,0.387189189,0.451027027,0.177378378,93.45243243,0.076216216,0,0,0,0,0.429988975,0.570011025,0,0,0,0,0,0.008820287,0,0,0.054024256,0.006615215,0.11907387,0.004410143,0,0.005512679,0.002205072,0,0,0.002205072,0.017640573,0,0.011025358,0.546857773,0,0.001102536,0.006615215,0.001102536,0.01323043,0.012127894,0,0.061742007,0,0,0,0,0,0.004410143,0.01323043,0,0,0,0.003307607,0,0.011025358,0,0.006615215,0.018743109,0,0,0,0,0.033076075,0,0,0,0,0.005512679,0.001102536,0.001102536,0,0,0,0,0.001102536,0.02646086,0.072767365,0.33076075,0.05292172,0.012127894,0.140022051,0.089305402,0.302094818,0.01323043,0.356119074,0.455347299,0.070562293,0.104740904,0.468577729,0.531422271,0.455347299,0.01323043,0.160970232,0.169790518,0.10584344,0.094818082,2016
1626143,Jahlil Okafor,Center,37,22.80630631,4.72972973,9.216216216,0,0,1.864864865,3.108108108,1.621621622,3.216216216,1.027027027,1.135135135,0.378378378,1.432432432,2.351351351,11.32432432,-7.108108108,92.25555556,111.5111111,0.107694444,0.468611111,8.388888889,0.066861111,0.170527778,0,11.41388889,0.508222222,0.529138889,0.236611111,97.97833333,0.088166667,0,0,0,0,0.511682243,0.488317757,0,0.012850467,0.009345794,0.035046729,0.014018692,0,0.015186916,0.002336449,0.03271028,0,0.063084112,0.010514019,0,0.00817757,0.007009346,0,0,0.005841121,0.007009346,0.019859813,0.00817757,0.296728972,0.019859813,0,0,0.01635514,0.02453271,0.02453271,0,0.143691589,0,0.009345794,0.005841121,0,0,0.023364486,0.007009346,0,0.005841121,0.001168224,0.021028037,0,0.014018692,0,0.001168224,0,0,0,0,0.003504673,0.012850467,0,0,0,0,0.08411215,0.001168224,0.011682243,0.009345794,0,0,0,0,0.011682243,0.001168224,0.005841121,0,0,0.248831776,0.299065421,0.445093458,0,0.636682243,0.007009346,0.281542056,0.074766355,0.007009346,0.992990654,0.767523364,0,0.015186916,0.017523364,0.077102804,0.122663551,2016
1626144,Emmanuel Mudiay,Guard,44,28.07386364,4.068181818,11.02272727,1.113636364,3.613636364,2.5,3.227272727,0.590909091,2.954545455,4.227272727,0.25,0.863636364,2.454545455,1.886363636,11.75,-3.204545455,105.9159091,113.9318182,0.211431818,1.904318182,21.60909091,0.022977273,0.11275,0,12.5,0.402681818,0.452659091,0.221477273,101.8690909,0.057954545,0,0,0,0,0.364316239,0.635683761,0,0,0.001068376,0.002136752,0.003205128,0.00534188,0.004273504,0,0.063034188,0.001068376,0.079059829,0,0,0.06517094,0.001068376,0,0,0.014957265,0.013888889,0.003205128,0.001068376,0.459401709,0.002136752,0,0,0,0.02457265,0.042735043,0,0.083333333,0,0.001068376,0.004273504,0,0,0.008547009,0.033119658,0,0,0,0.006410256,0,0.016025641,0,0.002136752,0,0,0,0,0.001068376,0.022435897,0,0,0,0,0.012820513,0,0.003205128,0.008547009,0,0,0.002136752,0,0.007478632,0.013888889,0.235042735,0.007478632,0.002136752,0.28525641,0.145299145,0.310897436,0.002136752,0.381410256,0.256410256,0.174145299,0.185897436,0.257478632,0.742521368,0.520299145,0.002136752,0.123931624,0.170940171,0.083333333,0.099358974,2016
1626145,Tyus Jones,Guard,35,11.1252381,1.085714286,2.657142857,0.457142857,1.228571429,0.6,0.742857143,0.2,0.714285714,2.228571429,0.057142857,0.628571429,0.6,0.8,3.228571429,1.342857143,106.3764706,99.08529412,0.289117647,0.745,34.66382353,0.020794118,0.060588235,0,7.247058824,0.345235294,0.404852941,0.1255,103.5211765,0.086235294,0,0,0,0,0.358974359,0.641025641,0,0,0.006410256,0,0,0,0,0,0.064102564,0,0.121794872,0,0,0,0,0,0,0,0.006410256,0.006410256,0.019230769,0.532051282,0,0,0,0,0.057692308,0.006410256,0,0.038461538,0,0,0,0,0,0,0.006410256,0,0,0,0.012820513,0,0.006410256,0,0.051282051,0,0,0,0,0,0.025641026,0,0,0,0,0.006410256,0.006410256,0,0,0,0,0,0,0.025641026,0.038461538,0.275641026,0.025641026,0,0.173076923,0.237179487,0.25,0.006410256,0.378205128,0.333333333,0.153846154,0.128205128,0.33974359,0.66025641,0.532051282,0.006410256,0.096153846,0.16025641,0.051282051,0.153846154,2016
1626147,Justin Anderson,Wing,51,13.61535948,2.176470588,5.411764706,0.725490196,2.392156863,1.37254902,1.725490196,0.764705882,2.156862745,0.62745098,0.31372549,0.549019608,0.784313725,1.254901961,6.450980392,-2.588235294,94.54489796,111.955102,0.05322449,0.159795918,5.365306122,0.051163265,0.224408163,0,9.206122449,0.474836735,0.512693878,0.229489796,95.08428571,0.105918367,0,0,0,0,0.397849462,0.602150538,0.005376344,0.016129032,0.010752688,0.005376344,0.010752688,0,0,0,0.086021505,0,0.048387097,0,0,0,0,0,0,0,0.016129032,0.005376344,0.010752688,0.569892473,0.010752688,0,0,0,0.016129032,0.010752688,0,0.032258065,0,0,0.010752688,0,0,0,0.016129032,0,0.005376344,0,0,0,0.016129032,0,0.016129032,0,0,0,0,0,0.010752688,0,0,0,0,0,0,0.010752688,0.037634409,0,0,0.010752688,0,0.010752688,0.091397849,0.290322581,0.096774194,0,0.161290323,0.091397849,0.268817204,0,0.344086022,0.478494624,0.069892473,0.107526882,0.478494624,0.521505376,0.462365591,0,0.123655914,0.11827957,0.134408602,0.161290323,2016
1626149,Montrezl Harrell,Forward,46,18.71992754,4,6.195652174,0.02173913,0.065217391,1.369565217,2.108695652,1.47826087,2.304347826,1.217391304,0.739130435,0.391304348,0.869565217,1.97826087,9.391304348,3.608695652,108.2933333,110.2444444,0.096822222,0.466666667,12.37777778,0.089933333,0.135,0,10.07111111,0.651,0.645866667,0.182377778,102.2888889,0.095177778,0,0,0,0,0.648351648,0.351648352,0.021978022,0.043956044,0.010989011,0.032967033,0.153846154,0.010989011,0,0,0,0.010989011,0.032967033,0,0,0,0,0,0,0,0.043956044,0.032967033,0,0.142857143,0.010989011,0,0,0.076923077,0.021978022,0,0,0.153846154,0,0,0.010989011,0,0,0.010989011,0,0,0.054945055,0,0.021978022,0,0,0,0,0,0,0,0,0,0.032967033,0,0.010989011,0,0,0.010989011,0,0.010989011,0.010989011,0,0,0.021978022,0,0,0,0.010989011,0,0,0.076923077,0.186813187,0.725274725,0,0.868131868,0.010989011,0.054945055,0.065934066,0.010989011,0.989010989,0.945054945,0,0.010989011,0.010989011,0.010989011,0.021978022,2016
200746,LaMarcus Aldridge,Forward,51,32.37385621,6.823529412,14.25490196,0.31372549,0.745098039,3.549019608,4.352941176,2.31372549,5,2.098039216,1.137254902,0.588235294,1.450980392,2.37254902,17.50980392,4.156862745,109.4,102.5183673,0.108326531,1.14755102,10.54081633,0.080061224,0.173081633,0,7.775510204,0.490612245,0.542591837,0.249163265,95.30979592,0.12122449,0,0,0,0,0.48443735,0.51556265,0.000798085,0.002793296,0.005985634,0.027533919,0.009976057,0.000399042,0.003591381,0,0.017158819,0,0.015163607,0.001995211,0.000399042,0.028332003,0.000399042,0,0.000798085,0.023543496,0.003192338,0.013168396,0.000798085,0.502394254,0.016759777,0,0,0.0103751,0.004788508,0.023942538,0.000399042,0.107342378,0,0.00518755,0.012769354,0.002793296,0.000798085,0.004389465,0.005586592,0.001197127,0.004788508,0.001197127,0.008379888,0,0.001197127,0,0.001995211,0.001596169,0.015163607,0.000399042,0,0.000798085,0.001995211,0,0,0,0,0.079010375,0,0.002793296,0.001995211,0,0.007182761,0.005985634,0.000798085,0.009976057,0.009177973,0.031923384,0.007581804,0.000399042,0.530327215,0.162011173,0.258579409,0.000399042,0.362330407,0.04868316,0.250199521,0.338387869,0.049082203,0.950917797,0.488028731,0.000399042,0.072625698,0.11452514,0.091779729,0.23264166,2016
1626155,Sam Dekker,Forward,58,19.50948276,2.982758621,6.275862069,0.879310345,2.724137931,0.568965517,0.965517241,1.413793103,2.448275862,1.068965517,0.327586207,0.568965517,0.637931034,1.155172414,7.413793103,1.034482759,107.5192982,106.0438596,0.083526316,0.524912281,12.13333333,0.070859649,0.143333333,0,7.643859649,0.529666667,0.532473684,0.157877193,101.2838596,0.086649123,0,0,0,0,0.666666667,0.333333333,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.333333333,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0.666666667,0,0.666666667,0.333333333,0,0,0.333333333,0.666666667,0.666666667,0,0,0,0,0.333333333,2016
200751,Randy Foye,Guard,43,18.77286822,1.837209302,5,1.023255814,3.023255814,0.697674419,0.860465116,0.186046512,2.23255814,2.11627907,0.162790698,0.395348837,1.395348837,1.418604651,5.395348837,-3.511627907,100.4170732,109.2121951,0.170121951,0.979512195,23.95853659,0.008756098,0.13802439,0,16.58780488,0.440341463,0.470731707,0.154634146,103.1109756,0.055804878,0,0,0,0,0.358490566,0.641509434,0,0,0,0,0.002219756,0.001109878,0,0,0.046614872,0,0.082130966,0,0,0.004439512,0,0,0,0.001109878,0.002219756,0,0.001109878,0.705882353,0.001109878,0,0.004439512,0,0.018867925,0.02108768,0,0.049944506,0,0.001109878,0.001109878,0,0,0.004439512,0.011098779,0,0,0,0.008879023,0,0.001109878,0,0.001109878,0,0,0,0,0.001109878,0.00554939,0,0,0,0,0.00554939,0,0,0,0,0.001109878,0,0.001109878,0.014428413,0.077691454,0.437291898,0.055493896,0.00554939,0.184239734,0.058823529,0.1809101,0.00554939,0.227524972,0.570477248,0.034406215,0.162042175,0.576026637,0.423973363,0.325194229,0.00554939,0.227524972,0.220865705,0.097669256,0.123196448,2016
200752,Rudy Gay,Forward,30,33.82111111,6.7,14.73333333,1.4,3.766666667,3.933333333,4.6,1.166666667,5.133333333,2.733333333,0.866666667,1.5,2.466666667,2.633333333,18.73333333,2.266666667,106.8633333,104.2933333,0.140566667,0.919,12.55,0.039133333,0.176033333,0,10.63333333,0.4941,0.553733333,0.2498,98.11033333,0.127866667,0,0,0,0,0.46086151,0.53913849,0.000463177,0.003242242,0.00185271,0.012042612,0.018990273,0.000926355,0.004168597,0,0.052339046,0.000463177,0.042149143,0.000463177,0,0.019453451,0.00185271,0.000463177,0.000463177,0.005094951,0.003242242,0.011579435,0.002779064,0.539601667,0.003705419,0,0.002779064,0.003242242,0.01250579,0.012968967,0.004631774,0.086150996,0.000926355,0.000926355,0.005094951,0.005558129,0.000463177,0.006947661,0.005558129,0.007410838,0.004631774,0.00185271,0.009726725,0,0.001389532,0,0.000463177,0.005094951,0.009263548,0,0,0,0.003705419,0,0.000926355,0,0,0.030569708,0.000463177,0.011579435,0.006484484,0.002315887,0.004168597,0.01250579,0,0.014358499,0.02130616,0.151922186,0.031496063,0.000926355,0.281611857,0.237610005,0.275127374,0.00185271,0.419638722,0.203798055,0.222325151,0.152385364,0.205650764,0.794349236,0.571560908,0.00185271,0.09958314,0.079203335,0.140805929,0.106993979,2016
