id,name,position,recorded_games,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,ast,blk,stl,to,pf,pts,plus_minus,off_rating,def_rating,ast_pct,ast_tov,ast_ratio,oreb_pct,dreb_pct,treb_pct,tm_tov_pct,efg_pct,ts_pct,usg_pct,pace,pie,shot_distance,shot_made_flag,loc_x,loc_y,event_type-Missed Shot,event_type-Made Shot,Fadeaway Bank shot,Running Layup Shot,Jump Bank Hook Shot,Driving Floating Jump Shot,Step Back Jump shot,Slam Dunk Shot,Tip Layup Shot,Driving Dunk Shot,Hook Shot,Running Alley Oop Layup Shot,Running Tip Shot,Running Pull-Up Jump Shot,Fadeaway Jump Shot,Putback Dunk Shot,Tip Dunk Shot,Running Reverse Layup Shot,Running Finger Roll Layup Shot,Putback Layup Shot,Step Back Bank Jump Shot,No Shot,Turnaround Jump Shot,Floating Jump shot,Jump Shot,Layup Shot,Reverse Layup Shot,Turnaround Fadeaway shot,Hook Bank Shot,Driving Jump shot,Cutting Dunk Shot,Driving Hook Shot,Running Alley Oop Dunk Shot,Alley Oop Layup shot,Turnaround Bank Hook Shot,Jump Bank Shot,Reverse Dunk Shot,Driving Floating Bank Jump Shot,Turnaround Fadeaway Bank Jump Shot,Running Dunk Shot,Tip Shot,Running Jump Shot,Running Hook Shot,Putback Slam Dunk Shot,Driving Bank Hook Shot,Turnaround Hook Shot,Cutting Finger Roll Layup Shot,Running Bank shot,Pullup Jump shot,Alley Oop Dunk Shot,Reverse Slam Dunk Shot,Running Slam Dunk Shot,Driving Bank shot,Driving Slam Dunk Shot,Running Reverse Dunk Shot,Pullup Bank shot,Jump Hook Shot,Driving Reverse Dunk Shot,Driving Finger Roll Layup Shot,Dunk Shot,Turnaround Bank shot,Driving Layup Shot,Cutting Layup Shot,Driving Reverse Layup Shot,Running Bank Hook Shot,Finger Roll Layup Shot,Left Corner 3,Right Corner 3,Mid-Range,In The Paint (Non-RA),Restricted Area,Backcourt,Above the Break 3,16-24 ft.,Back Court Shot,24+ ft.,Less Than 8 ft.,8-16 ft.,shot_type-3PT Field Goal,shot_type-2PT Field Goal,Right Side(R),Center(C),Left Side(L),Left Side Center(LC),Back Court(BC),Right Side Center(RC),Season
2039,Keyon Dooling,Guard,80,21.79479167,2.575,6.4875,1.0125,2.925,0.975,1.175,0.15,1.3125,3.0375,0.05,0.675,1.1375,1.4875,7.1375,0.925,100.9075,97.385,0.2170875,1.8113625,25.179875,0.0064375,0.0679375,0,11.365,0.444575,0.4722125,0.1794875,91.67875,0.1425125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
2045,Hedo Turkoglu,Forward,87,31.58678161,3.91954023,9.045977011,1.540229885,3.908045977,1.310344828,1.942528736,0.505747126,3.75862069,4.195402299,0.402298851,0.91954023,1.597701149,3.011494253,10.68965517,3.551724138,108.8333333,103.5074074,0.204123457,1.953209877,26.41728395,0.022098765,0.140938272,0,10.41975309,0.528469136,0.55182716,0.166864198,94.29864198,0.09237037,0,0,0,0,0.441489362,0.558510638,0,0,0,0,0.005319149,0,0,0,0.005319149,0,0.021276596,0,0,0.037234043,0,0,0,0.015957447,0,0,0,0.803191489,0,0,0,0,0.005319149,0.037234043,0,0.026595745,0,0,0,0,0,0,0.005319149,0,0,0,0.015957447,0,0,0,0,0,0.010638298,0,0,0.005319149,0.005319149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058510638,0.563829787,0.117021277,0,0.154255319,0.026595745,0.079787234,0,0.106382979,0.739361702,0.031914894,0.122340426,0.739361702,0.260638298,0.20212766,0,0.244680851,0.281914894,0.164893617,0.106382979,2010
2047,Quentin Richardson,Forward,63,16.47645503,1.507936508,4.285714286,0.746031746,2.476190476,0.555555556,0.73015873,0.666666667,2.396825397,0.634920635,0.095238095,0.412698413,0.555555556,1.317460317,4.317460317,0.968253968,94.48245614,103.6842105,0.071263158,0.377192982,9.841929825,0.039947368,0.166368421,0,8.292982456,0.313736842,0.336596491,0.134578947,98.46824561,0.041561404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
2048,Jamaal Magloire,Center,34,10.675,0.5,1.323529412,0,0,0.205882353,0.794117647,0.735294118,2.588235294,0.176470588,0.294117647,0.117647059,0.647058824,1.941176471,1.205882353,0.970588235,102.9441176,95.50588235,0.022029412,0.117647059,4.961764706,0.087029412,0.271764706,0,22.77941176,0.270588235,0.259941176,0.095941176,89.25117647,0.015470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
2052,DeShawn Stevenson,Wing,51,18.67875817,0.960784314,3.37254902,0.803921569,2.843137255,0.176470588,0.31372549,0.137254902,1.843137255,0.803921569,0.078431373,0.37254902,0.37254902,1.156862745,2.901960784,-3.215686275,77.28039216,101.8862745,0.072568627,0.225490196,17.11960784,0.006215686,0.106,0,8.756862745,0.310862745,0.316803922,0.094039216,92.43627451,0.024372549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
2059,Eduardo Najera,Forward,22,12.01515152,1.090909091,2.909090909,0.363636364,1.318181818,0.090909091,0.181818182,0.5,1.772727273,0.545454545,0.181818182,0.863636364,0.318181818,1.818181818,2.636363636,-1.863636364,89.91363636,107.4045455,0.057363636,0.227272727,10.12272727,0.048772727,0.166136364,0,6.068181818,0.417954545,0.423681818,0.124136364,93.44545455,-0.173727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
2734,Devin Harris,Guard,67,27.28308458,3.805970149,8.686567164,1.194029851,3.373134328,2.402985075,3.149253731,0.179104478,1.567164179,4.865671642,0.208955224,1,2,2.208955224,11.20895522,0.895522388,106.2412698,104.3079365,0.273206349,2.469206349,29.80952381,0.007714286,0.064650794,0,11.78888889,0.497380952,0.541079365,0.198253968,94.5868254,0.093730159,0,0,0,0,0.429988975,0.570011025,0,0,0,0,0,0.008820287,0,0,0.054024256,0.006615215,0.11907387,0.004410143,0,0.005512679,0.002205072,0,0,0.002205072,0.017640573,0,0.011025358,0.546857773,0,0.001102536,0.006615215,0.001102536,0.01323043,0.012127894,0,0.061742007,0,0,0,0,0,0.004410143,0.01323043,0,0,0,0.003307607,0,0.011025358,0,0.006615215,0.018743109,0,0,0,0,0.033076075,0,0,0,0,0.005512679,0.001102536,0.001102536,0,0,0,0,0.001102536,0.02646086,0.072767365,0.33076075,0.05292172,0.012127894,0.140022051,0.089305402,0.302094818,0.01323043,0.356119074,0.455347299,0.070562293,0.104740904,0.468577729,0.531422271,0.455347299,0.01323043,0.160970232,0.169790518,0.10584344,0.094818082,2011
2072,Michael Redd,Guard,51,14.83137255,2.823529412,7.058823529,0.823529412,2.588235294,1.725490196,2.176470588,0.274509804,1.235294118,0.647058824,0,0.254901961,0.725490196,0.568627451,8.196078431,-2.37254902,97.31372549,110.2607843,0.072607843,0.339803922,7.931372549,0.019823529,0.107862745,0,8.937254902,0.376431373,0.44327451,0.256333333,94.30882353,0.115392157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
200745,Andrea Bargnani,Center,31,33.4188172,6.741935484,15.61290323,1.096774194,3.709677419,4.870967742,5.580645161,0.774193548,4.774193548,1.967741935,0.483870968,0.580645161,2.225806452,1.677419355,19.4516129,-1.451612903,101.8645161,103.8096774,0.114967742,1.058064516,8.938709677,0.028290323,0.168677419,0,9.790322581,0.451354839,0.530741935,0.28983871,91.09483871,0.128645161,0,0,0,0,0.457055215,0.542944785,0,0,0.001533742,0.015337423,0.001533742,0,0.001533742,0,0.024539877,0,0.027607362,0.003067485,0,0.021472393,0,0.001533742,0,0.004601227,0.006134969,0.012269939,0,0.722392638,0.006134969,0,0,0.001533742,0,0.009202454,0.001533742,0.059815951,0,0,0,0.001533742,0,0.001533742,0.007668712,0.001533742,0,0.001533742,0.004601227,0,0.004601227,0,0,0,0.010736196,0,0,0,0.001533742,0,0,0,0,0.027607362,0,0.004601227,0,0,0.001533742,0,0,0.009202454,0,0.084355828,0,0.001533742,0.541411043,0.200920245,0.171779141,0.001533742,0.257668712,0.084355828,0.251533742,0.404907975,0.085889571,0.914110429,0.542944785,0.001533742,0.144171779,0.099693252,0.119631902,0.09202454,2011
200746,LaMarcus Aldridge,Forward,55,36.26727273,8.763636364,17.10909091,0.036363636,0.2,4.054545455,4.981818182,2.727272727,5.309090909,2.436363636,0.818181818,0.927272727,2.018181818,2.781818182,21.61818182,2.709090909,105.7127273,101.5963636,0.1266,1.208181818,9.976363636,0.084727273,0.175145455,0,8.261818182,0.517890909,0.561454545,0.278781818,92.92654545,0.152545455,0,0,0,0,0.48443735,0.51556265,0.000798085,0.002793296,0.005985634,0.027533919,0.009976057,0.000399042,0.003591381,0,0.017158819,0,0.015163607,0.001995211,0.000399042,0.028332003,0.000399042,0,0.000798085,0.023543496,0.003192338,0.013168396,0.000798085,0.502394254,0.016759777,0,0,0.0103751,0.004788508,0.023942538,0.000399042,0.107342378,0,0.00518755,0.012769354,0.002793296,0.000798085,0.004389465,0.005586592,0.001197127,0.004788508,0.001197127,0.008379888,0,0.001197127,0,0.001995211,0.001596169,0.015163607,0.000399042,0,0.000798085,0.001995211,0,0,0,0,0.079010375,0,0.002793296,0.001995211,0,0.007182761,0.005985634,0.000798085,0.009976057,0.009177973,0.031923384,0.007581804,0.000399042,0.530327215,0.162011173,0.258579409,0.000399042,0.362330407,0.04868316,0.250199521,0.338387869,0.049082203,0.950917797,0.488028731,0.000399042,0.072625698,0.11452514,0.091779729,0.23264166,2011
