id;name;position;fgm;fga;fg3m;fg3a;ftm;fta;oreb;dreb;ast;blk;stl;to;pf;pts;plus_minus;off_rating;def_rating;ast_pct;ast_tov;ast_ratio;oreb_pct;dreb_pct;treb_pct;tm_tov_pct;efg_pct;ts_pct;usg_pct;pace;pie
200750;Brandon Roy;Guard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
200751;Randy Foye;Guard;4.45679012345679;10.802469135802468;2.3333333333333335;6.148148148148148;1.9382716049382716;2.2839506172839505;0.4444444444444444;2.419753086419753;3.54320987654321;0.48148148148148145;0.8271604938271605;1.7901234567901234;2.5308641975308643;13.185185185185185;-1.5679012345679013;103.4864197530864;108.37654320987654;0.1700864197530864;1.6793703703703704;19.420987654320985;0.014506172839506174;0.08551851851851851;0.0;9.962962962962962;0.5043827160493829;0.538814814814815;0.18477777777777782;101.09901234567901;0.07672839506172842;0;0;0;0
200752;Rudy Gay;Forward;7.342465753424658;16.068493150684933;0.8904109589041096;2.671232876712329;4.342465753424658;5.287671232876712;1.547945205479452;4.424657534246576;2.863013698630137;0.7671232876712328;1.3013698630136987;3.0684931506849313;2.315068493150685;19.91780821917808;-0.821917808219178;103.41506849315068;105.64109589041092;0.14290410958904118;1.0409589041095892;11.619178082191782;0.05001369863013699;0.1440821917808219;0.0;13.0027397260274;0.47730136986301347;0.5336986301369863;0.2740821917808219;96.48986301369861;0.12015068493150688;0;0;0;0
1626161;Willie Cauley-Stein;Center;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1626162;Kelly Oubre Jr.;Forward;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
200755;JJ Redick;Guard;5.041666666666667;11.0625;2.0625;5.208333333333333;2.5416666666666665;2.75;0.2708333333333333;1.7291666666666667;2.0208333333333335;0.0625;0.8125;1.1458333333333333;1.8333333333333333;14.6875;5.645833333333333;113.39374999999997;105.83541666666663;0.09866666666666668;1.0452083333333333;12.125;0.011249999999999998;0.07202083333333334;0.0;6.952083333333333;0.5418749999999999;0.5903124999999999;0.2094791666666667;99.08395833333331;0.09277083333333332;0;0;0;0
200756;Hilton Armstrong;Forward;0.5909090909090909;1.2272727272727273;0.0;0.045454545454545456;0.3181818181818182;0.8181818181818182;1.0;1.3181818181818181;0.3181818181818182;0.2727272727272727;0.18181818181818182;0.45454545454545453;0.7727272727272727;1.5;-0.18181818181818182;90.78181818181817;76.90909090909089;0.08577272727272728;0.12863636363636363;7.672727272727272;0.12918181818181818;0.1620909090909091;0.0;7.281818181818181;0.2196818181818182;0.2114545454545455;0.13972727272727273;101.35181818181819;0.16054545454545452;0;0;0;0
200757;Thabo Sefolosha;Forward;2.1578947368421053;5.197368421052632;0.7105263157894737;2.3026315789473686;0.75;0.9736842105263158;0.75;2.5526315789473686;1.368421052631579;0.2236842105263158;1.1710526315789473;0.8157894736842105;1.3157894736842106;5.776315789473684;1.3421052631578947;103.2407894736842;100.875;0.0760131578947369;0.6622368421052631;15.82631578947368;0.03630263157894737;0.11523684210526317;0.0;10.451315789473687;0.4676184210526315;0.4982894736842104;0.11765789473684213;96.49144736842109;0.060815789473684184;0;0;0;0
200758;Ronnie Brewer;Forward;0.125;0.625;0.041666666666666664;0.3333333333333333;0.0;0.08333333333333333;0.08333333333333333;0.5;0.4166666666666667;0.041666666666666664;0.25;0.08333333333333333;0.16666666666666666;0.2916666666666667;-2.0833333333333335;89.21666666666668;114.675;0.1250416666666667;0.125;20.76125;0.011291666666666667;0.06937499999999999;0.0;1.875;0.10416666666666667;0.10416666666666667;0.04766666666666666;110.58375000000002;0.05175000000000001;0;0;0;0
1626167;Myles Turner;Center;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
