id,name,position,recorded_games,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,ast,blk,stl,to,pf,pts,plus_minus,off_rating,def_rating,ast_pct,ast_tov,ast_ratio,oreb_pct,dreb_pct,treb_pct,tm_tov_pct,efg_pct,ts_pct,usg_pct,pace,pie,shot_distance,shot_made_flag,loc_x,loc_y,event_type-Missed Shot,event_type-Made Shot,action_type-Fadeaway Bank shot,action_type-Running Layup Shot,action_type-Jump Bank Hook Shot,action_type-Driving Floating Jump Shot,action_type-Step Back Jump shot,action_type-Slam Dunk Shot,action_type-Tip Layup Shot,action_type-Driving Dunk Shot,action_type-Hook Shot,action_type-Running Alley Oop Layup Shot,action_type-Running Tip Shot,action_type-Running Pull-Up Jump Shot,action_type-Fadeaway Jump Shot,action_type-Putback Dunk Shot,action_type-Tip Dunk Shot,action_type-Running Reverse Layup Shot,action_type-Running Finger Roll Layup Shot,action_type-Putback Layup Shot,action_type-Step Back Bank Jump Shot,action_type-No Shot,action_type-Turnaround Jump Shot,action_type-Floating Jump shot,action_type-Jump Shot,action_type-Layup Shot,action_type-Reverse Layup Shot,action_type-Turnaround Fadeaway shot,action_type-Hook Bank Shot,action_type-Driving Jump shot,action_type-Cutting Dunk Shot,action_type-Driving Hook Shot,action_type-Running Alley Oop Dunk Shot,action_type-Alley Oop Layup shot,action_type-Turnaround Bank Hook Shot,action_type-Jump Bank Shot,action_type-Reverse Dunk Shot,action_type-Driving Floating Bank Jump Shot,action_type-Turnaround Fadeaway Bank Jump Shot,action_type-Running Dunk Shot,action_type-Tip Shot,action_type-Running Jump Shot,action_type-Running Hook Shot,action_type-Putback Slam Dunk Shot,action_type-Driving Bank Hook Shot,action_type-Turnaround Hook Shot,action_type-Cutting Finger Roll Layup Shot,action_type-Running Bank shot,action_type-Pullup Jump shot,action_type-Alley Oop Dunk Shot,action_type-Reverse Slam Dunk Shot,action_type-Running Slam Dunk Shot,action_type-Driving Bank shot,action_type-Driving Slam Dunk Shot,action_type-Running Reverse Dunk Shot,action_type-Pullup Bank shot,action_type-Jump Hook Shot,action_type-Driving Reverse Dunk Shot,action_type-Driving Finger Roll Layup Shot,action_type-Dunk Shot,action_type-Turnaround Bank shot,action_type-Driving Layup Shot,action_type-Cutting Layup Shot,action_type-Driving Reverse Layup Shot,action_type-Running Bank Hook Shot,action_type-Finger Roll Layup Shot,shot_zone_basic-Left Corner 3,shot_zone_basic-Right Corner 3,shot_zone_basic-Mid-Range,shot_zone_basic-In The Paint (Non-RA),shot_zone_basic-Restricted Area,shot_zone_basic-Backcourt,shot_zone_basic-Above the Break 3,shot_zone_range-16-24 ft.,shot_zone_range-Back Court Shot,shot_zone_range-24+ ft.,shot_zone_range-Less Than 8 ft.,shot_zone_range-8-16 ft.,shot_type-3PT Field Goal,shot_type-2PT Field Goal,shot_zone_area-Right Side(R),shot_zone_area-Center(C),shot_zone_area-Left Side(L),shot_zone_area-Left Side Center(LC),shot_zone_area-Back Court(BC),shot_zone_area-Right Side Center(RC),Season
1626149,Montrezl Harrell,Forward,87,14.22164751,2.793103448,4.344827586,0.011494253,0.057471264,1.011494253,1.666666667,1.068965517,1.701149425,0.83908046,0.517241379,0.333333333,0.666666667,1.609195402,6.609195402,2.287356322,108.0162791,107.3011628,0.077337209,0.261627907,11.99860465,0.071418605,0.113883721,0,9.401162791,0.568523256,0.572023256,0.156034884,101.314186,0.075069767,0,0,0,0,0.648351648,0.351648352,0.021978022,0.043956044,0.010989011,0.032967033,0.153846154,0.010989011,0,0,0,0.010989011,0.032967033,0,0,0,0,0,0,0,0.043956044,0.032967033,0,0.142857143,0.010989011,0,0,0.076923077,0.021978022,0,0,0.153846154,0,0,0.010989011,0,0,0.010989011,0,0,0.054945055,0,0.021978022,0,0,0,0,0,0,0,0,0,0.032967033,0,0.010989011,0,0,0.010989011,0,0.010989011,0.010989011,0,0,0.021978022,0,0,0,0.010989011,0,0,0.076923077,0.186813187,0.725274725,0,0.868131868,0.010989011,0.054945055,0.065934066,0.010989011,0.989010989,0.945054945,0,0.010989011,0.010989011,0.010989011,0.021978022,2010-2016
203906,Devyn Marble,Forward,44,10.07424242,0.795454545,2.613636364,0.272727273,1.227272727,0.340909091,0.909090909,0.25,1.318181818,0.659090909,0.068181818,0.5,0.363636364,0.886363636,2.204545455,-0.659090909,87.04545455,102.9840909,0.086659091,0.329545455,10.54545455,0.014409091,0.108954545,0,7.825,0.252295455,0.234477273,0.148954545,132.955,0.111068182,0,0,0,0,0.304347826,0.695652174,0,0,0.008695652,0,0.017391304,0.008695652,0,0,0.034782609,0,0.07826087,0,0,0,0,0,0,0.008695652,0.008695652,0,0,0.573913043,0,0,0,0,0.07826087,0.008695652,0,0.07826087,0,0,0,0,0,0,0.017391304,0,0,0,0.008695652,0,0.008695652,0,0.008695652,0,0,0,0,0,0.026086957,0,0,0,0,0,0,0,0,0,0,0,0,0.026086957,0.104347826,0.260869565,0.104347826,0,0.165217391,0.104347826,0.260869565,0,0.339130435,0.469565217,0.069565217,0.12173913,0.469565217,0.530434783,0.391304348,0,0.182608696,0.12173913,0.139130435,0.165217391,2010-2016
200745,Andrea Bargnani,Center,249,28.20127175,5.678714859,12.89156627,0.787148594,2.485943775,2.887550201,3.46184739,1.012048193,3.345381526,1.305220884,0.690763052,0.373493976,1.606425703,1.959839357,15.03212851,-4.240963855,98.3746988,109.7763052,0.078076305,0.662168675,7.287911647,0.039148594,0.139907631,0,9.608835341,0.452116466,0.497297189,0.250759036,94.81807229,0.060200803,0,0,0,0,0.457055215,0.542944785,0,0,0.001533742,0.015337423,0.001533742,0,0.001533742,0,0.024539877,0,0.027607362,0.003067485,0,0.021472393,0,0.001533742,0,0.004601227,0.006134969,0.012269939,0,0.722392638,0.006134969,0,0,0.001533742,0,0.009202454,0.001533742,0.059815951,0,0,0,0.001533742,0,0.001533742,0.007668712,0.001533742,0,0.001533742,0.004601227,0,0.004601227,0,0,0,0.010736196,0,0,0,0.001533742,0,0,0,0,0.027607362,0,0.004601227,0,0,0.001533742,0,0,0.009202454,0,0.084355828,0,0.001533742,0.541411043,0.200920245,0.171779141,0.001533742,0.257668712,0.084355828,0.251533742,0.404907975,0.085889571,0.914110429,0.542944785,0.001533742,0.144171779,0.099693252,0.119631902,0.09202454,2010-2016
200746,LaMarcus Aldridge,Forward,507,35.89013807,8.500986193,17.60157791,0.140039448,0.467455621,4.043392505,4.917159763,2.617357002,6.483234714,2.08678501,1.100591716,0.775147929,1.719921105,2.358974359,21.18540434,3.495069034,107.6512871,102.5550495,0.104229703,1.052811881,8.741980198,0.083285149,0.206477228,0,7.411485149,0.485520792,0.533667327,0.274207921,94.21586139,0.144069307,0,0,0,0,0.48443735,0.51556265,0.000798085,0.002793296,0.005985634,0.027533919,0.009976057,0.000399042,0.003591381,0,0.017158819,0,0.015163607,0.001995211,0.000399042,0.028332003,0.000399042,0,0.000798085,0.023543496,0.003192338,0.013168396,0.000798085,0.502394254,0.016759777,0,0,0.0103751,0.004788508,0.023942538,0.000399042,0.107342378,0,0.00518755,0.012769354,0.002793296,0.000798085,0.004389465,0.005586592,0.001197127,0.004788508,0.001197127,0.008379888,0,0.001197127,0,0.001995211,0.001596169,0.015163607,0.000399042,0,0.000798085,0.001995211,0,0,0,0,0.079010375,0,0.002793296,0.001995211,0,0.007182761,0.005985634,0.000798085,0.009976057,0.009177973,0.031923384,0.007581804,0.000399042,0.530327215,0.162011173,0.258579409,0.000399042,0.362330407,0.04868316,0.250199521,0.338387869,0.049082203,0.950917797,0.488028731,0.000399042,0.072625698,0.11452514,0.091779729,0.23264166,2010-2016
1626155,Sam Dekker,Forward,61,18.63333333,2.836065574,5.967213115,0.836065574,2.590163934,0.540983607,0.918032787,1.344262295,2.344262295,1.016393443,0.31147541,0.557377049,0.606557377,1.098360656,7.049180328,0.950819672,106.1483333,108.6766667,0.07935,0.498666667,11.52666667,0.067316667,0.140333333,0,7.261666667,0.503183333,0.50585,0.149983333,103.1766667,0.083766667,0,0,0,0,0.666666667,0.333333333,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.333333333,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0.666666667,0,0.666666667,0.333333333,0,0,0.333333333,0.666666667,0.666666667,0,0,0,0,0.333333333,2010-2016
200749,Shelden Williams,Center,117,18.43903134,1.700854701,3.598290598,0,0,1.145299145,1.52991453,2,3.324786325,0.572649573,0.555555556,0.598290598,0.931623932,2.35042735,4.547008547,-2.341880342,99.56153846,109.7965812,0.051452991,0.257863248,9.672478632,0.115982906,0.224752137,0,16.6957265,0.447393162,0.477521368,0.130606838,94.75991453,0.061683761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-2016
200750,Brandon Roy,Guard,58,27.01178161,4.172413793,10.37931034,0.724137931,2.362068966,2.275862069,2.775862069,0.568965517,1.982758621,2.913793103,0.206896552,0.706896552,1.137931034,1.620689655,11.34482759,1.103448276,105.6931034,105.6862069,0.182637931,1.317068966,19.39827586,0.025706897,0.094431034,0,7.49137931,0.405844828,0.466103448,0.213948276,89.27103448,0.082206897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-2016
200751,Randy Foye,Guard,491,24.31941057,3.166666667,8.146341463,1.62398374,4.428861789,1.290650407,1.522357724,0.282520325,1.733739837,2.380081301,0.333333333,0.656504065,1.288617886,1.983739837,9.24796748,-1.359756098,101.7628571,106.5493878,0.150693878,1.155426531,18.69081633,0.012040816,0.082395918,0,10.60081633,0.458181633,0.494814286,0.181204082,96.82661224,0.052353061,0,0,0,0,0.358490566,0.641509434,0,0,0,0,0.002219756,0.001109878,0,0,0.046614872,0,0.082130966,0,0,0.004439512,0,0,0,0.001109878,0.002219756,0,0.001109878,0.705882353,0.001109878,0,0.004439512,0,0.018867925,0.02108768,0,0.049944506,0,0.001109878,0.001109878,0,0,0.004439512,0.011098779,0,0,0,0.008879023,0,0.001109878,0,0.001109878,0,0,0,0,0.001109878,0.00554939,0,0,0,0,0.00554939,0,0,0,0,0.001109878,0,0.001109878,0.014428413,0.077691454,0.437291898,0.055493896,0.00554939,0.184239734,0.058823529,0.1809101,0.00554939,0.227524972,0.570477248,0.034406215,0.162042175,0.576026637,0.423973363,0.325194229,0.00554939,0.227524972,0.220865705,0.097669256,0.123196448,2010-2016
200752,Rudy Gay,Forward,442,35.94364184,7.169300226,15.89841986,1.033860045,3.018058691,3.713318284,4.530474041,1.519187359,4.670428894,2.650112867,0.772009029,1.401805869,2.562076749,2.386004515,19.08577878,0.690744921,103.4724605,103.475395,0.130336343,1.173047404,11.39322799,0.048191874,0.151832957,0,11.1724605,0.481744921,0.530318284,0.254128668,96.36954853,0.116918736,0,0,0,0,0.46086151,0.53913849,0.000463177,0.003242242,0.00185271,0.012042612,0.018990273,0.000926355,0.004168597,0,0.052339046,0.000463177,0.042149143,0.000463177,0,0.019453451,0.00185271,0.000463177,0.000463177,0.005094951,0.003242242,0.011579435,0.002779064,0.539601667,0.003705419,0,0.002779064,0.003242242,0.01250579,0.012968967,0.004631774,0.086150996,0.000926355,0.000926355,0.005094951,0.005558129,0.000463177,0.006947661,0.005558129,0.007410838,0.004631774,0.00185271,0.009726725,0,0.001389532,0,0.000463177,0.005094951,0.009263548,0,0,0,0.003705419,0,0.000926355,0,0,0.030569708,0.000463177,0.011579435,0.006484484,0.002315887,0.004168597,0.01250579,0,0.014358499,0.02130616,0.151922186,0.031496063,0.000926355,0.281611857,0.237610005,0.275127374,0.00185271,0.419638722,0.203798055,0.222325151,0.152385364,0.205650764,0.794349236,0.571560908,0.00185271,0.09958314,0.079203335,0.140805929,0.106993979,2010-2016
1626161,Willie Cauley-Stein,Center,115,17.52202899,2.669565217,4.782608696,0,0.034782609,1.026086957,1.617391304,1.556521739,2.643478261,0.539130435,0.773913043,0.626086957,0.617391304,2.017391304,6.365217391,-1.6,100.7946903,110.6530973,0.043557522,0.203539823,7.807876106,0.097876106,0.155371681,0,10.09469027,0.496955752,0.520955752,0.154964602,98.93734513,0.096274336,0,0,0,0,0.565096953,0.434903047,0.008310249,0.016620499,0.002770083,0.083102493,0.096952909,0,0.002770083,0,0.008310249,0,0.013850416,0,0,0.011080332,0,0,0,0.002770083,0.027700831,0.094182825,0.002770083,0.185595568,0.016620499,0,0,0.013850416,0.005540166,0,0,0.146814404,0,0,0.047091413,0,0,0.013850416,0,0,0.03601108,0,0.011080332,0,0.002770083,0,0,0,0,0,0,0.002770083,0.002770083,0,0.005540166,0,0,0.005540166,0.002770083,0.002770083,0.005540166,0.005540166,0,0.113573407,0,0.002770083,0.005540166,0,0,0,0.11634349,0.210526316,0.667590028,0,0.83933518,0.005540166,0.091412742,0.063711911,0.005540166,0.994459834,0.87534626,0,0.016620499,0.002770083,0.04432133,0.060941828,2010-2016
