Method,K,Cluster,Size,Center,Center-Forward,Forward-Center,Forward,Forward-Guard,Guard-Forward,Guard,Feature Set,Player IDs
K-Means++,5,4,2,0.5,0,0,0,0,0,0.5,0,101249 204002
K-Means++,5,5,2,0,0,0,0.5,0,0,0.5,0,1626153 1627863
K-Means++,6,1,50,0.12,0.02,0.06,0.38,0,0.08,0.3,0,1897 1626151 1626174 1626175 1626184 200779 1627832 1626203 203912 203934 203950 203962 201941 1627362 1626154 203998 203096 202087 203112 203114 203148 202130 201148 2555 2617 1627738 1627740 1627743 1627745 1627754 1627757 1627762 202362 1627771 1627778 1627787 202349 202390 1627834 1627849 1627854 203493 1627879 203510 203527 101133 201573 202620 201628 201202
K-Means++,6,2,2,0,0,0,0.5,0,0,0.5,0,1626153 1627863
K-Means++,6,3,130,0.15384615384615385,0,0.03076923076923077,0.33076923076923076,0.015384615384615385,0.03076923076923077,0.43846153846153846,0,1626144 200746 1626156 1626157 200752 1626163 1626164 1626167 202083 200794 203897 203901 203903 203914 2200 203930 203932 203933 203935 2216 203952 2225 203954 203468 201933 201935 201937 201939 201942 201949 201950 201952 204001 201959 201960 204020 201976 203476 200755 203999 203076 203077 203078 203079 203081 203083 203084 201954 203090 203095 203109 203110 203115 200768 203145 203953 203507 201142 201143 201144 201156 201163 201188 2544 2546 2548 202326 202329 202331 202335 202322 202340 202339 202355 201152 2730 202695 2738 1627763 2749 203469 203471 2772 203484 203486 203490 203496 203497 203500 203501 203506 101107 101108 101114 101141 101150 203552 202738 101162 202330 203918 201565 201566 201567 201568 201569 201572 201583 201584 201586 201587 201588 201599 201609 202681 202684 202685 202689 202691 202693 202694 202696 202699 203085 202704 202710 202711 202720 203944 2037
K-Means++,6,4,3,0.3333333333333333,0,0,0,0,0,0.3333333333333333,0,1626312 101249 204002
K-Means++,6,5,108,0.1111111111111111,0,0.08333333333333333,0.3333333333333333,0.018518518518518517,0.10185185185185185,0.3425925925925926,0,1626145 1626148 1626158 1626166 1626176 200770 1626191 1626192 1626196 1626199 1626210 1627835 203894 203895 200826 1626246 203915 1626254 203923 2756 1626273 203940 203948 203949 1627752 201936 1627855 201956 201962 204014 201975 1627770 1626159 2365 203080 203092 203094 203098 203101 203118 1626173 203138 2449 101106 201150 201155 201977 1627777 201177 1626202 2592 1627884 202338 1627733 1627735 1627736 1627746 1627747 1627751 1627748 1627756 1627758 1627761 1627767 1627773 1627774 1627755 1627781 1627786 202391 1626780 2034 1627812 1627815 1627817 1717 1718 2747 203457 2757 203462 2760 1627850 1627852 203477 203481 203898 203487 1627749 202498 101123 203526 101138 203909 101179 101181 101187 201575 201582 201589 201600 1627826 202682 202692 202700 202713 202718 203461
K-Means++,6,6,170,0.12941176470588237,0.052941176470588235,0.058823529411764705,0.32941176470588235,0.01764705882352941,0.08823529411764706,0.3235294117647059,0,1626143 1626147 1626149 1626150 1626155 200751 1626161 1626162 200757 1626168 1626169 1626170 1626171 1626172 200765 200771 1626181 1626185 200782 1626204 1626209 203902 1626245 2754 1626257 203922 203924 203925 203926 2199 2210 203939 203943 203957 203967 202683 203991 201945 203994 201951 201961 201967 201973 204028 201988 204038 201943 204060 203082 203086 203087 203089 203093 2399 203107 203120 203124 203141 2440 1626178 1626179 203186 201145 201147 201149 203200 203613 201160 201162 201166 201167 101112 1891 201980 2403 201196 1626195 202325 2561 2564 203521 2571 201228 201229 202328 2585 204025 2594 202332 202334 202337 202323 202324 1627734 1627737 1627739 1627741 1627742 1627750 202344 1627759 202357 203382 1627775 203210 1627783 1627785 1627789 202389 202397 201158 204456 2733 2734 1627823 2736 1713 2743 2744 203458 203459 203460 203463 1627851 203473 203482 202703 203488 203498 203503 203504 101109 203512 203516 203518 203524 203530 101135 101139 101145 203546 202714 101161 203584 203585 203917 201563 201571 201577 201578 201579 201580 201585 201601 1938 201627 1627827 2207 202687 202688 203937 202697 202702 202709 1627098 202722 202730 202732 202066 202734
K-Means++,7,1,2,0,0,0,0.5,0,0,0.5,0,1626153 1627863
K-Means++,7,2,75,0.13333333333333333,0,0.04,0.3333333333333333,0.013333333333333334,0.02666666666666667,0.4533333333333333,0,200746 1626157 200752 1626164 1626167 202083 200794 203897 203914 203952 203954 203468 201933 201935 201939 201942 204001 204020 200755 203999 203076 203078 203079 203081 203084 203095 203109 203115 200768 203953 203507 201142 201143 201144 201163 201188 2544 2546 2548 202326 202331 202322 202340 202339 202355 202695 203471 2772 203484 203490 203497 203506 101150 202738 101162 202330 203918 201565 201566 201567 201568 201569 201572 201583 201587 201588 201599 201609 202681 202689 202691 202693 202694 202699 202710
